               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                  81,            0.052741,             0.15013,              0.0263,             0.83777,             0.76936,             0.76634,             0.53844,             0.05152,             0.20559,            0.029359,             0.00736,             0.00736,             0.00736
                  82,            0.050806,             0.14612,            0.025142,              0.8431,             0.76712,             0.76567,             0.53043,            0.051919,             0.20521,             0.02939,            0.007327,            0.007327,            0.007327
                  83,            0.050554,             0.14675,             0.02521,             0.84007,             0.76704,             0.76376,             0.51097,            0.052912,             0.20749,            0.029347,            0.007294,            0.007294,            0.007294
                  84,            0.052067,             0.14948,             0.02593,             0.83828,             0.76402,             0.76251,             0.52541,            0.052296,             0.20877,            0.029265,            0.007261,            0.007261,            0.007261
                  85,             0.05081,             0.14875,             0.02589,             0.83741,             0.77232,              0.7662,             0.54359,            0.051991,             0.20586,            0.029158,            0.007228,            0.007228,            0.007228
                  86,            0.050035,             0.14711,            0.025003,             0.84382,             0.75921,             0.76291,             0.52352,            0.052133,             0.20862,            0.029071,            0.007195,            0.007195,            0.007195
                  87,            0.050713,             0.14614,            0.026009,             0.83262,             0.76291,             0.76136,             0.52665,             0.05177,             0.20866,            0.029059,            0.007162,            0.007162,            0.007162
                  88,            0.050519,             0.14598,            0.024899,             0.83595,              0.7676,             0.76353,             0.51931,            0.052706,             0.20937,            0.029088,            0.007129,            0.007129,            0.007129
                  89,            0.050794,             0.14488,            0.024568,             0.83983,             0.76886,             0.76486,             0.52966,            0.051637,             0.20917,            0.029016,            0.007096,            0.007096,            0.007096
                  90,            0.049485,             0.14277,            0.024397,              0.8407,             0.76422,              0.7658,             0.53701,            0.051461,             0.20677,            0.028972,            0.007063,            0.007063,            0.007063
                  91,            0.049718,             0.14239,            0.024448,             0.84351,             0.77365,             0.76884,             0.53969,            0.051445,             0.20628,            0.028908,             0.00703,             0.00703,             0.00703
                  92,            0.050419,             0.14642,            0.024655,             0.84598,             0.77052,             0.76948,             0.52116,              0.0526,             0.20942,            0.028836,            0.006997,            0.006997,            0.006997
                  93,            0.049446,             0.14022,            0.024157,             0.84594,             0.76787,             0.76771,             0.53393,            0.051456,             0.20657,            0.028929,            0.006964,            0.006964,            0.006964
                  94,            0.049227,             0.14127,            0.024669,             0.83714,             0.77661,             0.76925,              0.5414,            0.051103,             0.20727,            0.028754,            0.006931,            0.006931,            0.006931
                  95,            0.050882,             0.14664,            0.024283,             0.84123,             0.77295,             0.76882,             0.54506,             0.05101,             0.20546,            0.028799,            0.006898,            0.006898,            0.006898
                  96,            0.049645,              0.1403,            0.024285,               0.847,             0.76476,             0.76644,             0.54148,            0.051288,             0.20598,            0.028804,            0.006865,            0.006865,            0.006865
                  97,             0.05025,             0.14296,            0.024402,             0.83983,              0.7787,              0.7692,             0.54435,             0.05122,               0.205,            0.028738,            0.006832,            0.006832,            0.006832
                  98,            0.048928,             0.14021,            0.023395,             0.84386,             0.76832,              0.7671,             0.54484,            0.051008,             0.20753,            0.028677,            0.006799,            0.006799,            0.006799
                  99,            0.049321,             0.14532,            0.024069,             0.84549,             0.77455,              0.7671,             0.53677,            0.051318,             0.20849,            0.028532,            0.006766,            0.006766,            0.006766
                 100,            0.050356,              0.1393,            0.024182,             0.84144,             0.77569,             0.76999,             0.53647,            0.051381,             0.20608,            0.028555,            0.006733,            0.006733,            0.006733
                 101,            0.049145,              0.1434,            0.024504,             0.84057,             0.77732,              0.7669,             0.54854,            0.051057,             0.20562,            0.028558,              0.0067,              0.0067,              0.0067
                 102,            0.050019,             0.14065,            0.024324,             0.84496,             0.77253,             0.76866,             0.54041,            0.050985,             0.20684,            0.028479,            0.006667,            0.006667,            0.006667
                 103,            0.049336,             0.14079,            0.023589,             0.84418,             0.77392,             0.77202,             0.53584,            0.051122,             0.20602,            0.028506,            0.006634,            0.006634,            0.006634
                 104,            0.048688,              0.1374,            0.023201,             0.84528,             0.77735,             0.76941,             0.54008,            0.051642,             0.20717,            0.028479,            0.006601,            0.006601,            0.006601
                 105,             0.04884,             0.14248,            0.023775,             0.84662,             0.77408,             0.77115,             0.54559,            0.050862,             0.20494,            0.028688,            0.006568,            0.006568,            0.006568
                 106,            0.049943,             0.14464,            0.024152,             0.84571,             0.78222,             0.77078,             0.54322,            0.051246,             0.20634,            0.028383,            0.006535,            0.006535,            0.006535
