               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                  50,            0.053399,             0.15061,            0.032079,             0.75711,             0.67788,             0.69489,             0.45299,             0.05399,             0.21217,            0.034238,            0.008383,            0.008383,            0.008383
                  51,            0.054972,             0.15172,            0.031658,             0.76736,             0.68595,             0.70478,             0.46997,             0.05296,             0.21003,            0.034061,             0.00835,             0.00835,             0.00835
                  52,            0.053273,              0.1497,            0.030775,             0.78036,             0.69858,             0.71335,             0.43846,            0.054752,             0.21645,            0.033707,            0.008317,            0.008317,            0.008317
                  53,            0.054017,             0.14285,            0.030824,             0.78255,             0.69252,             0.71081,              0.4743,            0.053246,             0.21141,            0.033553,            0.008284,            0.008284,            0.008284
                  54,            0.052214,              0.1483,            0.030349,             0.77952,             0.69951,             0.71665,             0.48251,             0.05272,             0.21268,            0.033282,            0.008251,            0.008251,            0.008251
                  55,            0.052527,             0.14786,            0.029539,             0.79216,             0.70267,             0.71834,             0.48646,            0.052521,             0.21451,            0.033022,            0.008218,            0.008218,            0.008218
                  56,            0.053011,              0.1461,            0.029456,             0.80232,             0.71513,             0.72935,             0.48605,            0.052849,             0.21177,            0.032643,            0.008185,            0.008185,            0.008185
                  57,            0.052286,             0.14641,            0.029202,             0.80057,             0.71859,             0.72809,             0.49666,            0.052181,             0.21067,            0.032394,            0.008152,            0.008152,            0.008152
                  58,            0.052358,             0.14841,            0.028749,             0.79305,             0.72052,             0.72509,              0.4487,            0.054465,             0.21217,             0.03264,            0.008119,            0.008119,            0.008119
                  59,            0.052837,             0.14409,            0.028799,             0.81673,             0.71511,             0.73335,             0.49663,            0.052488,             0.20948,            0.032089,            0.008086,            0.008086,            0.008086
                  60,            0.051676,             0.14081,            0.027943,             0.81503,              0.7272,             0.73927,              0.5029,            0.052419,             0.20969,            0.031981,            0.008053,            0.008053,            0.008053
                  61,            0.053736,             0.14898,              0.0284,             0.81162,             0.72944,             0.74026,             0.49612,             0.05267,             0.21458,             0.03185,             0.00802,             0.00802,             0.00802
                  62,            0.052789,             0.14638,            0.028851,             0.81657,             0.73126,             0.74469,             0.50284,            0.052426,              0.2123,            0.031458,            0.007987,            0.007987,            0.007987
                  63,            0.052911,             0.15035,            0.028433,             0.81217,              0.7274,              0.7376,             0.49938,            0.052924,             0.20913,            0.031467,            0.007954,            0.007954,            0.007954
                  64,            0.052426,             0.14479,            0.027585,             0.82181,             0.74197,             0.74686,             0.50348,            0.053265,             0.21227,            0.031331,            0.007921,            0.007921,            0.007921
                  65,            0.052849,             0.14398,            0.027675,             0.82897,             0.73887,             0.74751,             0.51222,            0.052387,             0.20941,             0.03129,            0.007888,            0.007888,            0.007888
                  66,             0.05238,             0.14667,            0.027229,             0.83046,             0.73726,             0.75086,             0.51098,            0.052194,             0.21089,            0.030942,            0.007855,            0.007855,            0.007855
                  67,            0.052545,             0.14669,            0.027151,             0.83208,              0.7421,             0.75089,             0.51951,            0.052021,             0.21093,            0.030821,            0.007822,            0.007822,            0.007822
                  68,             0.05277,             0.14851,            0.027484,             0.83402,             0.74454,              0.7517,             0.50988,            0.052502,             0.21213,             0.03093,            0.007789,            0.007789,            0.007789
                  69,            0.051481,             0.14776,            0.027176,             0.82941,             0.75562,             0.75538,             0.51609,            0.051851,             0.21266,            0.030624,            0.007756,            0.007756,            0.007756
                  70,            0.051183,             0.14128,            0.026682,             0.83179,             0.75002,              0.7548,             0.52493,            0.051859,             0.21037,            0.030304,            0.007723,            0.007723,            0.007723
                  71,             0.05224,             0.14331,            0.026797,             0.83246,             0.74339,             0.75462,              0.5271,            0.051588,             0.20599,            0.030345,             0.00769,             0.00769,             0.00769
                  72,            0.052331,             0.14361,            0.026486,              0.8313,             0.74992,             0.75519,             0.51678,            0.052301,             0.21299,            0.030321,            0.007657,            0.007657,            0.007657
                  73,            0.050532,             0.13895,            0.025873,             0.82506,              0.7561,             0.75666,             0.52537,            0.051852,             0.20899,            0.030182,            0.007624,            0.007624,            0.007624
                  74,            0.051277,             0.14347,            0.026063,             0.83274,             0.75822,             0.75831,             0.51862,            0.052067,             0.21085,            0.030049,            0.007591,            0.007591,            0.007591
                  75,            0.051503,             0.14741,            0.026215,             0.82645,             0.75127,             0.75332,             0.49916,             0.05348,             0.21595,            0.030205,            0.007558,            0.007558,            0.007558
                  76,            0.051083,             0.14404,            0.025928,             0.83711,             0.74643,             0.75796,             0.52431,            0.051804,             0.21045,            0.029951,            0.007525,            0.007525,            0.007525
                  77,            0.051304,             0.14187,            0.026434,             0.83463,             0.75295,             0.75833,             0.53031,            0.051478,             0.20979,            0.029918,            0.007492,            0.007492,            0.007492
                  78,            0.051539,             0.14248,            0.025646,              0.8347,              0.7559,             0.75929,             0.53381,            0.051289,             0.20869,            0.029674,            0.007459,            0.007459,            0.007459
                  79,            0.050636,             0.13564,            0.025465,              0.8413,             0.75943,             0.75993,             0.53848,             0.05143,             0.20611,            0.029608,            0.007426,            0.007426,            0.007426
                  80,             0.05129,             0.14463,            0.026019,             0.83531,             0.76422,             0.76061,             0.52774,            0.051469,             0.20928,             0.02964,            0.007393,            0.007393,            0.007393
                  81,            0.050523,             0.13686,            0.024826,               0.836,             0.76561,             0.76214,             0.52196,            0.051888,             0.21046,            0.029498,             0.00736,             0.00736,             0.00736
                  82,            0.050937,             0.14335,            0.025884,             0.83536,             0.76329,             0.76165,              0.5302,             0.05124,             0.21238,            0.029388,            0.007327,            0.007327,            0.007327
                  83,            0.050849,             0.14161,            0.024697,             0.84043,             0.76964,             0.76299,             0.53268,            0.051825,             0.21088,             0.02953,            0.007294,            0.007294,            0.007294
                  84,            0.050757,             0.14331,            0.025172,             0.83928,             0.76201,             0.76457,             0.53804,            0.051609,             0.20924,            0.029326,            0.007261,            0.007261,            0.007261
                  85,            0.049217,             0.14194,            0.024724,             0.83995,             0.76383,             0.76472,             0.54411,            0.051246,             0.21113,            0.029156,            0.007228,            0.007228,            0.007228
                  86,            0.050794,              0.1451,            0.025376,             0.83611,             0.76256,             0.76124,             0.53367,            0.052202,             0.20945,            0.029346,            0.007195,            0.007195,            0.007195
                  87,            0.051153,             0.14538,            0.024984,             0.84189,             0.76415,             0.76393,               0.539,             0.05118,             0.20967,            0.029195,            0.007162,            0.007162,            0.007162
                  88,            0.050274,             0.13977,            0.024268,             0.83527,             0.75894,             0.76104,             0.52989,            0.051995,             0.21149,             0.02925,            0.007129,            0.007129,            0.007129
                  89,            0.051171,              0.1448,            0.025051,             0.84228,             0.76541,             0.76484,             0.53261,            0.051619,             0.21184,            0.029008,            0.007096,            0.007096,            0.007096
